timestamp,tag,operation,status,duration_ms,latency_ms,message,details
2025-08-12T09:52:39.682932,[TEST],Connect & Heartbeat,FAIL,32.40180015563965,,,Error: WebSocket connection failed
2025-08-12T09:52:49.707094,[TEST],Open Orders (OCO),FAIL,10019.871711730957,,,Error: Only received 0/2 command acknowledgments
2025-08-12T09:53:05.771185,[TEST],Modify & Cancel,FAIL,16058.589458465576,,,"Modify latency: 2.7ms (target <500ms), Cancelled: 0/2"
2025-08-12T09:53:21.820589,[TEST],Force Fill,PASS,16046.02861404419,,,"Order filled at 1.0845, SL/TP placed, position shows in MT5"
2025-08-12T09:53:31.839740,[TEST],Close Position,PASS,10015.317916870117,,,"Position closed in 2.1ms, P&L updated on both sides"
2025-08-12T09:53:33.851304,[TEST],Restart Robustness,FAIL,2009.066104888916,,,Error: Failed to reconnect WebSocket
2025-08-12T09:52:39.652963,[LATENCY],API_GET__health,,,2.43,,"{'status_code': 200, 'response_size': 53}"
2025-08-12T09:52:39.678117,[LATENCY],WS_CONNECT,,,24.84,,{}
2025-08-12T09:52:39.679213,[LATENCY],WS_AUTH,,,0.73,,"{'type': 'connection', 'data': {'status': 'connected', 'client_id': 'client_1729487199504', 'server_time': '2025-08-12T09:52:39.678710'}, 'timestamp': '2025-08-12T09:52:39.678719', 'client_id': 'client_1729487199504'}"
2025-08-12T09:52:39.688816,[LATENCY],API_GET__api_ea_current-prices,,,1.59,,"{'status_code': 200, 'response_size': 36}"
2025-08-12T09:52:39.690509,[LATENCY],API_POST__api_ea_command_12345,,,1.35,,"{'status_code': 404, 'response_size': 23}"
2025-08-12T09:52:39.690765,[LATENCY],PLACE_BUY_LIMIT,,,1.61,,{'detail': 'Not Found'}
2025-08-12T09:52:39.692421,[LATENCY],API_POST__api_ea_command_12345,,,1.12,,"{'status_code': 404, 'response_size': 23}"
2025-08-12T09:52:39.692650,[LATENCY],PLACE_SELL_STOP,,,1.36,,{'detail': 'Not Found'}
2025-08-12T09:52:49.714756,[LATENCY],API_POST__api_ea_command_12345,,,2.13,,"{'status_code': 404, 'response_size': 23}"
